City,City_Tier,Property_Type,BHK,Builtup_Area_sqft,Property_Age_years,Floor,Total_Floors,Furnishing,Parking,Distance_to_Metro_km,Distance_to_School_km,Distance_to_Hospital_km,Average_Area_Price_sqft,Rental_Yield_percent,Annual_Rent,Property_Price,Investment_Category
Guwahati,Tier_3,Independent House,3,1194,21,0,3,Unfurnished,None,3.74,0.67,5.04,2573,5.07,151409,2986379,High ROI
Gaya,Tier_3,Villa,1,1910,0,0,1,Unfurnished,Open,0.19,1.08,5.88,3714,2.81,206653,7354208,Medium ROI
Pune,Tier_1,Apartment,2,1276,4,5,6,Unfurnished,None,5.31,6.23,4.43,3924,1.75,84834,4847699,Low ROI
Mysore,Tier_3,Villa,1,3067,8,0,1,Semi-Furnished,Open,2.96,3.14,0.75,3687,3.05,322095,10560513,Medium ROI
Agra,Tier_3,Plot,2,689,12,0,1,Semi-Furnished,Open,1.31,1.55,2.46,1985,4.06,52454,1291989,High ROI
Bhubaneswar,Tier_3,Apartment,3,1407,9,4,6,Fully-Furnished,None,0.89,2.19,1.52,2986,3.68,163413,4440571,High ROI
Dhanbad,Tier_3,Apartment,3,1156,9,2,3,Semi-Furnished,Covered,0.38,2.15,2.75,3045,3.09,111951,3623021,Medium ROI
Aurangabad,Tier_3,Apartment,2,1106,11,2,3,Semi-Furnished,Open,2.32,6.6,0.21,2534,3.82,113802,2979110,High ROI
Rourkela,Tier_3,Apartment,1,909,1,2,6,Semi-Furnished,Open,5.73,5.41,0.65,3088,4.53,132888,2933514,High ROI
Varanasi,Tier_3,Independent House,2,1026,3,0,1,Semi-Furnished,Open,2.65,0.53,5.01,3020,4.34,144631,3332516,High ROI
Agartala,Tier_3,Apartment,4,1479,0,2,3,Semi-Furnished,None,3.81,1.41,3.13,2206,4.94,163938,3318601,High ROI
Bhopal,Tier_2,Independent House,3,1154,6,0,1,Semi-Furnished,None,6.4,4.57,4.01,3500,2.98,113134,3796454,Medium ROI
Bhubaneswar,Tier_3,Apartment,3,966,8,4,5,Unfurnished,Covered,5.23,0.03,1.97,2443,4.63,110317,2382676,High ROI
Faridabad,Tier_3,Villa,4,3295,0,0,2,Fully-Furnished,Covered,9.94,4.75,4.34,4855,2.99,510692,17080026,Medium ROI
Navi Mumbai,Tier_2,Apartment,2,1355,0,3,6,Semi-Furnished,Open,8.81,0.21,6.87,4265,1.5,83394,5559614,Low ROI
Vadodara,Tier_2,Apartment,4,1319,5,1,5,Fully-Furnished,Covered,8.06,5.02,0.36,4181,2.31,120488,5215959,Low ROI
Bhavnagar,Tier_3,Apartment,1,718,8,4,8,Semi-Furnished,Covered,10.31,2.94,0.09,2436,2.48,46779,1886282,Low ROI
Nellore,Tier_3,Apartment,3,1400,3,5,7,Fully-Furnished,Covered,0.88,4.48,7.37,2682,4.83,194656,4030164,High ROI
Moradabad,Tier_3,Apartment,2,1211,11,4,6,Semi-Furnished,Open,7.79,4.01,4.58,2580,2.4,79786,3324449,Low ROI
Dhanbad,Tier_3,Independent House,3,1182,0,0,2,Unfurnished,None,2.33,3.28,3.87,2887,4.34,148847,3429672,High ROI
Allahabad,Tier_3,Apartment,3,925,0,2,5,Unfurnished,Covered,5.2,4.15,4.02,1977,3.88,72873,1878174,High ROI
Srinagar,Tier_3,Independent House,4,1415,5,0,1,Fully-Furnished,Open,6.03,4.89,0.83,2805,4.35,183386,4215779,High ROI
Jaipur,Tier_2,Apartment,2,1013,2,3,6,Fully-Furnished,None,6.05,2.45,3.34,5357,2.33,129757,5569010,Low ROI
Srinagar,Tier_3,Apartment,3,1316,30,5,7,Semi-Furnished,Open,4.04,1.23,2.69,1721,4.07,88887,2183971,High ROI
Agartala,Tier_3,Apartment,2,1321,6,2,3,Unfurnished,Covered,7.65,0.14,2.75,2935,3.97,157854,3976196,High ROI
Solapur,Tier_3,Apartment,4,1801,16,2,4,Unfurnished,None,10.52,0.81,3.99,2220,2.35,96562,4109038,Low ROI
Madurai,Tier_3,Apartment,1,957,3,1,8,Fully-Furnished,Covered,3.88,1.86,0.77,3306,4.27,128860,3017809,High ROI
Jodhpur,Tier_3,Apartment,2,1170,7,6,7,Unfurnished,None,0.55,0.54,2.13,2497,4.9,150280,3066958,High ROI
Bengaluru,Tier_1,Apartment,2,1220,1,0,3,Fully-Furnished,None,8.78,1.09,8.18,6986,1.96,171112,8730236,Low ROI
Nagpur,Tier_2,Apartment,3,1013,10,1,5,Semi-Furnished,None,8.99,4.5,7.78,3253,3.23,102072,3160129,Medium ROI
Gurgaon,Tier_2,Plot,3,1528,10,0,2,Fully-Furnished,Open,1.2,5.46,4.31,3970,1.5,84242,5616134,Low ROI
Gaya,Tier_3,Apartment,1,609,5,3,7,Semi-Furnished,Covered,0.21,4.79,2.99,2366,4.97,75025,1509570,High ROI
Faridabad,Tier_3,Apartment,3,1290,5,10,11,Unfurnished,Open,0.39,5.05,5.71,2141,2.65,74089,2795817,Medium ROI
Jamshedpur,Tier_3,Apartment,2,1273,11,6,8,Semi-Furnished,Open,3.08,0.04,1.67,2558,2.82,87538,3104200,Medium ROI
Firozabad,Tier_3,Villa,4,3058,13,0,2,Unfurnished,None,5.48,0.37,6.45,2301,3.6,264254,7340391,High ROI
Madurai,Tier_3,Apartment,1,952,14,4,7,Fully-Furnished,Covered,6.88,0.45,0.23,2912,5.32,143585,2698980,High ROI
Srinagar,Tier_3,Apartment,1,1022,5,1,9,Fully-Furnished,None,0.8,0.21,4.18,3273,3.67,128155,3491969,High ROI
Jhansi,Tier_3,Independent House,2,1187,38,0,2,Fully-Furnished,Open,2.73,0.65,2.31,2512,4.09,117740,2878739,High ROI
Mumbai,Tier_1,Villa,1,2018,1,0,2,Fully-Furnished,Open,6.56,4.08,5.65,8730,1.5,266149,17743294,Low ROI
Gurgaon,Tier_2,Apartment,2,1354,8,7,9,Fully-Furnished,Open,2.37,5.13,0.14,4192,3.23,196269,6076461,Medium ROI
Mangalore,Tier_3,Independent House,2,935,0,0,2,Semi-Furnished,Open,9.43,5.86,0.04,2414,2.26,53931,2386340,Low ROI
Ahmedabad,Tier_1,Apartment,2,871,16,5,9,Fully-Furnished,Open,11.64,3.02,8.28,4993,1.52,67043,4410736,Low ROI
Tiruchirappalli,Tier_3,Plot,2,1647,15,0,3,Unfurnished,Covered,1.54,0.2,4.89,1922,3.74,111001,2967959,High ROI
Kurnool,Tier_3,Apartment,2,1317,4,2,3,Fully-Furnished,Open,0.21,3.04,4.41,2708,4.95,163814,3309393,High ROI
Solapur,Tier_3,Apartment,3,939,0,2,12,Semi-Furnished,Open,2.4,3.91,0.44,2263,3.29,66120,2009734,Medium ROI
Kolhapur,Tier_3,Villa,2,2990,6,0,1,Unfurnished,Covered,4.08,1.69,1.86,3586,5.35,611830,11436088,High ROI
Cuttack,Tier_3,Independent House,3,1501,6,0,2,Fully-Furnished,Open,4.36,2.0,3.26,4005,4.46,264421,5928736,High ROI
Gurgaon,Tier_2,Apartment,4,1490,8,4,11,Semi-Furnished,Covered,7.22,3.77,8.32,3879,2.33,129439,5555362,Low ROI
Jaipur,Tier_2,Independent House,2,1187,8,0,1,Semi-Furnished,Open,4.58,4.74,6.01,4867,3.22,178421,5541041,Medium ROI
Rourkela,Tier_3,Apartment,3,1289,1,2,6,Semi-Furnished,Open,11.43,2.71,3.24,2398,2.74,85709,3128074,Medium ROI
Allahabad,Tier_3,Independent House,2,743,1,0,3,Fully-Furnished,Covered,7.42,5.11,3.01,4070,3.0,85949,2864989,Medium ROI
Varanasi,Tier_3,Apartment,2,983,8,6,11,Unfurnished,Open,10.27,2.72,5.09,2221,3.34,77997,2335259,Medium ROI
Mysore,Tier_3,Villa,2,3048,38,0,3,Fully-Furnished,Covered,1.75,0.67,8.1,2523,3.36,248017,7381487,Medium ROI
Indore,Tier_2,Plot,5,2225,8,0,3,Semi-Furnished,None,7.63,7.38,6.48,3805,1.72,136650,7944806,Low ROI
Ujjain,Tier_3,Independent House,2,1116,0,0,2,Fully-Furnished,Open,3.41,1.07,9.25,3186,3.72,136706,3674904,High ROI
Kolhapur,Tier_3,Apartment,2,978,11,4,7,Unfurnished,Covered,4.87,4.45,0.6,1890,4.15,73572,1772837,High ROI
Chennai,Tier_1,Apartment,2,1146,4,4,13,Semi-Furnished,Covered,6.42,3.08,7.69,5138,1.83,109665,5992663,Low ROI
Nellore,Tier_3,Apartment,1,732,1,5,8,Unfurnished,None,0.25,3.13,5.13,1895,2.99,43027,1439038,Medium ROI
Bikaner,Tier_3,Apartment,2,838,0,5,8,Fully-Furnished,Covered,0.9,0.43,1.3,3096,3.19,80521,2524197,Medium ROI
Raipur,Tier_3,Apartment,3,1352,11,0,6,Fully-Furnished,Covered,2.76,1.0,3.18,3558,3.57,160160,4486295,High ROI
Mysore,Tier_3,Apartment,4,1321,3,2,5,Fully-Furnished,Open,2.43,1.98,1.07,2704,4.97,170692,3434462,High ROI
Jodhpur,Tier_3,Apartment,2,840,2,0,5,Unfurnished,Covered,2.89,1.48,2.49,2594,3.17,64078,2021397,Medium ROI
Kalyan-Dombivali,Tier_3,Apartment,2,1080,4,6,7,Semi-Furnished,None,4.62,2.32,2.11,2690,3.14,85906,2735876,Medium ROI
Dhanbad,Tier_3,Apartment,2,980,12,2,8,Semi-Furnished,Open,0.15,3.81,0.69,2551,3.89,89760,2307468,High ROI
Srinagar,Tier_3,Villa,3,3100,8,0,2,Fully-Furnished,Covered,1.81,4.08,2.44,4555,4.72,683339,14477540,High ROI
Dehradun,Tier_3,Independent House,1,702,2,0,2,Fully-Furnished,Covered,0.84,0.89,0.85,3051,4.18,94689,2265291,High ROI
Hubli-Dharwad,Tier_3,Independent House,4,1197,6,0,1,Fully-Furnished,None,0.01,4.93,2.01,3451,4.03,166134,4122450,High ROI
Howrah,Tier_3,Apartment,2,669,5,0,10,Semi-Furnished,Open,5.57,3.99,2.72,2342,3.66,54180,1480352,High ROI
Nanded,Tier_3,Independent House,3,1227,4,0,1,Unfurnished,None,4.83,4.78,3.95,2662,4.0,139939,3498477,High ROI
Thiruvananthapuram,Tier_3,Apartment,2,991,0,2,6,Fully-Furnished,Covered,6.22,2.33,3.32,3921,3.29,120874,3674006,Medium ROI
Rajkot,Tier_3,Apartment,5,1633,0,1,4,Unfurnished,None,6.31,1.48,2.77,1937,3.56,110828,3113155,High ROI
Indore,Tier_2,Apartment,3,1432,2,1,7,Unfurnished,Open,5.73,2.82,1.87,3431,2.66,130031,4888387,Medium ROI
Pune,Tier_1,Villa,1,2509,1,0,2,Semi-Furnished,Open,13.81,8.08,7.02,9681,1.5,360703,24046886,Low ROI
Thiruvananthapuram,Tier_3,Apartment,2,953,12,4,6,Semi-Furnished,Covered,1.07,0.58,1.68,2293,3.25,75549,2324609,Medium ROI
Surat,Tier_2,Apartment,3,1628,26,3,9,Unfurnished,None,9.92,3.01,2.04,3362,3.09,180227,5832592,Medium ROI
Tirunelveli,Tier_3,Apartment,2,982,4,3,7,Unfurnished,Open,5.81,0.92,3.79,2027,3.81,78468,2059541,High ROI
Visakhapatnam,Tier_3,Apartment,2,1055,34,3,4,Unfurnished,Covered,3.88,1.38,3.26,1949,3.07,66251,2158017,Medium ROI
Bengaluru,Tier_1,Apartment,3,962,8,2,9,Fully-Furnished,Covered,5.26,7.02,8.66,6092,1.75,108812,6217835,Low ROI
Surat,Tier_2,Apartment,3,1077,12,3,4,Semi-Furnished,Open,5.24,2.55,5.7,3944,2.35,103488,4403763,Low ROI
Indore,Tier_2,Independent House,2,1212,5,0,2,Semi-Furnished,Covered,5.26,5.18,0.53,4865,1.81,108812,6011759,Low ROI
Bokaro,Tier_3,Plot,2,950,3,0,2,Unfurnished,Open,2.91,5.49,0.52,2273,3.76,77650,2065164,High ROI
Aligarh,Tier_3,Apartment,3,1315,18,2,9,Semi-Furnished,Open,8.45,3.12,5.32,2667,2.98,99158,3327473,Medium ROI
Vijayawada,Tier_3,Apartment,3,1084,0,2,4,Semi-Furnished,Open,2.75,2.54,4.64,2741,2.95,90633,3072319,Medium ROI
Salem,Tier_3,Villa,1,2293,1,0,1,Semi-Furnished,Open,1.54,1.52,0.08,3184,2.69,198701,7386657,Medium ROI
Jaipur,Tier_2,Independent House,1,564,11,0,1,Unfurnished,Covered,8.19,5.24,7.51,3519,1.87,36864,1971343,Low ROI
Bhavnagar,Tier_3,Apartment,3,1160,0,11,13,Fully-Furnished,Open,3.5,4.48,1.16,3697,3.79,165504,4366873,High ROI
Panipat,Tier_3,Plot,4,1561,1,0,1,Semi-Furnished,Covered,0.93,0.65,2.19,2985,4.11,191041,4648201,High ROI
Ongole,Tier_3,Apartment,3,1310,5,1,4,Fully-Furnished,None,5.74,3.64,3.31,2283,3.95,127048,3216410,High ROI
Cuttack,Tier_3,Apartment,2,769,26,9,11,Semi-Furnished,Covered,7.22,6.46,0.93,2514,3.68,66697,1812442,High ROI
Indore,Tier_2,Apartment,1,694,0,3,7,Semi-Furnished,Covered,7.94,4.89,2.29,4090,2.55,73047,2864599,Medium ROI
Faridabad,Tier_3,Apartment,2,1162,13,4,10,Unfurnished,None,6.83,3.26,4.45,1919,2.94,64266,2185952,Medium ROI
Jodhpur,Tier_3,Villa,2,2279,4,0,2,Unfurnished,Covered,6.53,3.88,9.91,3872,3.53,286652,8120473,High ROI
Dehradun,Tier_3,Independent House,2,907,2,0,2,Semi-Furnished,Open,5.42,5.56,1.88,3587,3.61,123715,3427018,High ROI
Gwalior,Tier_3,Apartment,2,1092,16,4,7,Fully-Furnished,Open,6.34,0.03,5.45,2381,3.65,91424,2504770,High ROI
Bengaluru,Tier_1,Independent House,1,871,16,0,2,Fully-Furnished,Open,6.68,4.46,6.72,7553,3.47,235013,6772712,Medium ROI
Jaipur,Tier_2,Apartment,3,1258,6,3,9,Fully-Furnished,Open,4.52,0.5,3.89,4166,1.53,82776,5410203,Low ROI
Faridabad,Tier_3,Apartment,3,1045,3,1,7,Unfurnished,Covered,2.48,3.8,0.79,2624,4.47,118972,2661586,High ROI
Srinagar,Tier_3,Apartment,2,1259,2,7,8,Semi-Furnished,Open,3.31,4.84,2.27,2229,2.78,83158,2991324,Medium ROI
Nellore,Tier_3,Apartment,2,548,14,3,6,Semi-Furnished,Open,6.0,0.33,2.2,1925,3.83,41078,1072552,High ROI
Hyderabad,Tier_1,Villa,2,1827,2,0,1,Unfurnished,Open,9.55,6.97,7.05,6162,1.92,210017,10938392,Low ROI
Kolhapur,Tier_3,Apartment,2,1030,8,1,2,Semi-Furnished,Covered,4.77,3.86,0.84,2880,2.63,76795,2919992,Medium ROI
Gurgaon,Tier_2,Apartment,3,967,4,6,7,Unfurnished,Open,4.06,4.19,7.6,3214,2.32,73516,3168815,Low ROI
Coimbatore,Tier_3,Villa,4,3326,2,0,1,Semi-Furnished,Open,5.01,1.98,8.06,3411,4.0,436316,10907902,High ROI
Bhavnagar,Tier_3,Apartment,3,1334,12,2,7,Unfurnished,None,0.5,0.7,4.61,2284,3.08,89684,2911836,Medium ROI
Nanded,Tier_3,Independent House,1,747,1,0,2,Fully-Furnished,Open,6.27,3.88,4.17,4098,4.04,127716,3161306,High ROI
Ludhiana,Tier_3,Apartment,3,1408,5,1,7,Unfurnished,None,3.32,0.48,1.42,2577,3.35,127038,3792194,Medium ROI
Solapur,Tier_3,Villa,2,2721,20,0,1,Fully-Furnished,Open,6.13,3.0,7.83,2884,4.17,323854,7766304,High ROI
Mangalore,Tier_3,Apartment,5,1822,14,2,6,Unfurnished,None,5.21,3.44,0.29,2096,2.4,92106,3837754,Low ROI
Navi Mumbai,Tier_2,Apartment,1,922,1,2,7,Semi-Furnished,Covered,8.28,4.57,4.46,5334,2.14,108169,5054642,Low ROI
Chennai,Tier_1,Independent House,2,1231,6,0,3,Semi-Furnished,Open,10.24,4.73,7.58,6639,1.83,143446,7838580,Low ROI
Vijayawada,Tier_3,Apartment,3,1143,1,3,6,Fully-Furnished,Open,6.51,0.5,0.49,3700,3.22,133982,4160957,Medium ROI
Gwalior,Tier_3,Independent House,1,653,7,0,2,Fully-Furnished,None,3.51,4.61,4.44,2861,2.33,41303,1772666,Low ROI
Nizamabad,Tier_3,Apartment,4,1294,3,2,8,Unfurnished,None,1.59,3.87,2.61,1931,3.09,74809,2421009,Medium ROI
Pune,Tier_1,Apartment,2,1017,3,2,7,Fully-Furnished,Open,11.48,7.61,9.17,8245,1.58,127851,8091891,Low ROI
Jhansi,Tier_3,Plot,4,2184,6,0,3,Fully-Furnished,Covered,6.94,4.77,4.43,2223,3.23,165917,5136779,Medium ROI
Jalandhar,Tier_3,Apartment,3,1532,11,4,8,Fully-Furnished,Open,2.58,4.32,0.51,2216,2.58,82836,3210708,Medium ROI
Puducherry,Tier_3,Apartment,3,1352,4,0,4,Unfurnished,Open,5.97,2.53,3.02,2267,3.11,93945,3020760,Medium ROI
Ongole,Tier_3,Villa,3,3011,5,0,1,Unfurnished,Open,9.03,0.32,0.59,2778,4.87,385278,7911257,High ROI
Raipur,Tier_3,Apartment,2,688,1,0,6,Unfurnished,Open,3.29,0.37,0.18,1894,4.21,57576,1367623,High ROI
Allahabad,Tier_3,Apartment,2,1038,16,1,6,Fully-Furnished,Covered,5.76,2.27,4.9,3311,3.76,130323,3466045,High ROI
Ludhiana,Tier_3,Plot,3,1664,11,0,3,Unfurnished,Open,4.0,1.92,5.31,2015,4.32,147431,3412757,High ROI
Surat,Tier_2,Apartment,2,945,4,3,7,Unfurnished,Covered,3.03,6.93,6.62,4524,2.94,134409,4571749,Medium ROI
Srinagar,Tier_3,Apartment,2,1192,10,1,4,Fully-Furnished,Open,1.98,5.66,7.29,2624,3.65,119455,3272740,High ROI
Kalyan-Dombivali,Tier_3,Apartment,2,1206,12,5,7,Unfurnished,Open,5.68,1.34,5.51,2286,3.73,109139,2925980,High ROI
Dehradun,Tier_3,Plot,3,1405,19,0,2,Unfurnished,Open,2.33,4.83,3.65,1444,3.29,66043,2007413,Medium ROI
Gwalior,Tier_3,Plot,1,1343,4,0,1,Unfurnished,None,6.91,0.59,1.36,2032,4.68,120703,2579144,High ROI
Varanasi,Tier_3,Villa,2,3099,3,0,3,Fully-Furnished,Covered,0.64,2.94,2.87,3850,3.88,492386,12690374,High ROI
Bikaner,Tier_3,Villa,3,3410,7,0,1,Fully-Furnished,Open,13.11,4.0,2.27,4412,5.19,813845,15681028,High ROI
Puducherry,Tier_3,Apartment,4,1299,8,3,7,Semi-Furnished,Open,8.84,4.79,1.49,2660,3.18,108517,3412489,Medium ROI
Firozabad,Tier_3,Villa,3,2398,0,0,1,Unfurnished,Open,3.55,2.7,1.12,4125,2.49,247197,9927592,Low ROI
Karnal,Tier_3,Independent House,2,843,3,0,1,Fully-Furnished,None,2.78,0.28,4.81,3473,2.98,93619,3141591,Medium ROI
Thane,Tier_2,Apartment,2,1100,19,0,4,Semi-Furnished,Covered,9.27,5.31,0.8,3616,2.24,94133,4202400,Low ROI
Erode,Tier_3,Apartment,3,1135,2,5,9,Fully-Furnished,Open,4.55,3.52,0.5,3359,2.48,87236,3517615,Low ROI
Ghaziabad,Tier_2,Villa,2,2533,10,0,2,Fully-Furnished,Open,2.81,4.29,4.95,5325,3.09,441451,14286463,Medium ROI
Mysore,Tier_3,Independent House,1,880,24,0,2,Unfurnished,Open,1.91,3.64,3.73,2140,2.78,52901,1902937,Medium ROI
Ludhiana,Tier_3,Apartment,2,610,33,2,6,Fully-Furnished,Open,9.65,3.48,2.88,2200,4.09,57206,1398685,High ROI
Jabalpur,Tier_3,Independent House,2,1301,2,0,3,Unfurnished,Open,8.35,1.61,1.81,2917,4.31,154215,3578075,High ROI
Cuttack,Tier_3,Apartment,2,862,0,2,7,Unfurnished,Covered,4.82,0.56,5.94,2675,4.26,96600,2267612,High ROI
Bengaluru,Tier_1,Apartment,2,700,1,4,7,Semi-Furnished,Open,8.67,4.74,13.37,6526,1.5,65835,4389060,Low ROI
Guwahati,Tier_3,Villa,3,3099,11,0,2,Semi-Furnished,Open,4.05,2.37,4.09,4088,3.63,437325,12047521,High ROI
Rourkela,Tier_3,Independent House,3,1323,2,0,1,Semi-Furnished,Open,3.86,0.7,4.47,2735,2.98,107109,3594283,Medium ROI
Firozabad,Tier_3,Apartment,2,709,4,4,6,Fully-Furnished,Covered,0.76,1.02,4.62,2548,3.84,68047,1772083,High ROI
Tirunelveli,Tier_3,Apartment,2,910,2,5,8,Unfurnished,Covered,5.56,3.02,4.47,2130,3.14,62226,1981720,Medium ROI
Bhubaneswar,Tier_3,Independent House,2,1316,10,0,1,Unfurnished,Covered,2.97,3.89,3.08,3295,4.71,193257,4103123,High ROI
Patna,Tier_2,Plot,1,759,0,0,2,Semi-Furnished,Open,8.79,7.02,6.5,4701,2.53,83311,3292934,Medium ROI
Dehradun,Tier_3,Apartment,2,910,43,2,7,Semi-Furnished,Open,2.01,3.48,0.58,1827,1.81,27687,1529709,Low ROI
Dehradun,Tier_3,Apartment,2,967,2,10,12,Unfurnished,Open,8.72,1.13,3.8,2170,3.45,76040,2204082,Medium ROI
Chandrapur,Tier_3,Apartment,2,1110,0,3,4,Semi-Furnished,Covered,0.92,2.07,7.04,3188,2.58,85542,3315593,Medium ROI
Kota,Tier_3,Apartment,3,1223,7,0,4,Unfurnished,Covered,6.07,0.25,0.43,2343,2.71,76046,2806142,Medium ROI
Delhi,Tier_1,Apartment,2,1042,3,10,11,Semi-Furnished,Covered,5.86,4.08,6.5,7007,2.57,184739,7188324,Medium ROI
Bijapur,Tier_3,Independent House,3,1227,16,0,2,Fully-Furnished,Open,0.71,5.48,6.28,3562,4.31,201944,4685476,High ROI
Tiruchirappalli,Tier_3,Apartment,2,864,9,1,4,Semi-Furnished,Covered,3.55,2.87,3.82,2803,4.84,124663,2575702,High ROI
Coimbatore,Tier_3,Apartment,2,639,18,4,7,Semi-Furnished,Covered,7.26,5.6,3.89,2802,4.94,90623,1834488,High ROI
Jamshedpur,Tier_3,Apartment,2,1028,3,10,14,Unfurnished,None,3.09,2.05,2.04,2417,2.96,70063,2367019,Medium ROI
Solapur,Tier_3,Independent House,1,625,13,0,1,Semi-Furnished,Covered,6.71,0.14,4.46,2590,4.19,72914,1740202,High ROI
Visakhapatnam,Tier_3,Apartment,4,1383,0,3,4,Semi-Furnished,Open,4.17,1.19,4.47,2496,2.08,70904,3408854,Low ROI
Moradabad,Tier_3,Independent House,2,963,1,0,2,Unfurnished,Open,8.02,4.71,3.38,3159,3.8,108683,2860099,High ROI
Jodhpur,Tier_3,Plot,3,1911,0,0,2,Semi-Furnished,None,7.39,2.42,3.17,2813,3.21,179960,5606252,Medium ROI
Faridabad,Tier_3,Plot,2,1027,1,0,3,Unfurnished,Open,5.78,1.08,2.31,1880,2.42,47735,1972526,Low ROI
Bathinda,Tier_3,Apartment,3,1290,10,4,8,Semi-Furnished,Open,1.35,1.25,2.3,2891,3.36,121369,3612182,Medium ROI
Howrah,Tier_3,Villa,2,2107,4,0,3,Unfurnished,Open,6.32,3.75,4.39,3009,1.5,88958,5930542,Low ROI
Srinagar,Tier_3,Apartment,2,964,0,7,8,Unfurnished,Covered,5.89,4.65,0.52,2322,3.61,83762,2320299,High ROI
Vasai-Virar,Tier_3,Apartment,3,987,1,0,8,Unfurnished,Covered,5.35,3.49,2.47,2430,4.25,104515,2459199,High ROI
Kanpur,Tier_2,Plot,1,1143,8,0,2,Unfurnished,Covered,8.89,0.45,0.68,3710,1.5,64964,4330976,Low ROI
Bikaner,Tier_3,Apartment,2,1134,12,4,8,Fully-Furnished,Open,4.14,0.94,0.14,3012,3.93,136756,3479813,High ROI
Kochi,Tier_3,Apartment,3,1292,2,4,7,Semi-Furnished,None,3.53,2.25,4.5,2643,4.25,140605,3308365,High ROI
Shimla,Tier_3,Independent House,1,823,36,0,2,Unfurnished,Open,8.11,1.01,0.12,2205,2.41,42528,1764684,Low ROI
Solapur,Tier_3,Apartment,2,1050,6,0,8,Semi-Furnished,Covered,0.48,0.22,3.69,2722,3.01,87910,2920627,Medium ROI
Chandigarh,Tier_2,Apartment,1,406,4,3,6,Semi-Furnished,Open,6.35,4.3,3.45,4152,2.46,43224,1757101,Low ROI
Kurnool,Tier_3,Apartment,3,1421,5,4,12,Semi-Furnished,Covered,2.3,0.89,5.86,3014,3.78,171041,4524911,High ROI
Coimbatore,Tier_3,Apartment,3,1480,2,7,9,Unfurnished,Open,3.53,4.08,1.93,2165,4.84,162670,3360963,High ROI
Mysore,Tier_3,Apartment,2,1019,9,4,6,Unfurnished,None,6.66,0.82,2.47,1861,3.62,68763,1899558,High ROI
Hyderabad,Tier_1,Apartment,1,811,5,0,3,Semi-Furnished,None,12.11,9.5,8.9,6301,1.5,78962,5264134,Low ROI
Aurangabad,Tier_3,Independent House,2,930,14,0,3,Unfurnished,Open,5.79,1.97,3.39,1882,3.87,67457,1743100,High ROI
Nanded,Tier_3,Independent House,3,730,10,0,3,Unfurnished,Open,0.95,5.35,0.54,2134,1.5,23529,1568613,Low ROI
Rajkot,Tier_3,Apartment,3,1353,1,3,5,Unfurnished,Open,6.73,0.31,3.99,1913,4.71,115696,2456406,High ROI
Aligarh,Tier_3,Villa,2,2652,7,0,1,Semi-Furnished,Covered,5.88,3.6,2.06,3689,4.3,441260,10261865,High ROI
Bhavnagar,Tier_3,Apartment,2,1071,2,1,9,Semi-Furnished,Open,6.59,3.7,0.49,2617,2.66,72079,2709770,Medium ROI
Hubli-Dharwad,Tier_3,Apartment,3,850,3,3,6,Fully-Furnished,Open,1.52,3.25,0.2,2511,2.86,64061,2239896,Medium ROI
Bijapur,Tier_3,Plot,5,1966,9,0,1,Unfurnished,Covered,6.06,0.32,3.94,1750,3.61,126280,3498080,High ROI
Amritsar,Tier_3,Independent House,3,1300,0,0,2,Semi-Furnished,Covered,0.9,0.11,3.77,3037,3.13,125742,4017328,Medium ROI
Mysore,Tier_3,Apartment,1,1046,0,0,6,Unfurnished,None,0.39,1.48,1.63,2452,4.15,103718,2499250,High ROI
Srinagar,Tier_3,Apartment,2,809,4,1,5,Fully-Furnished,Covered,7.74,4.55,4.61,2632,5.28,116100,2198880,High ROI
Dehradun,Tier_3,Apartment,3,1202,4,2,5,Semi-Furnished,None,5.89,3.4,2.11,2245,3.12,81187,2602179,Medium ROI
Bhavnagar,Tier_3,Independent House,2,1148,7,0,3,Fully-Furnished,Open,7.09,4.15,4.37,3094,3.44,115747,3364766,Medium ROI
Solapur,Tier_3,Independent House,3,919,6,0,2,Fully-Furnished,Covered,2.83,1.92,1.14,3275,3.13,94504,3019307,Medium ROI
Gaya,Tier_3,Villa,3,2620,17,0,1,Unfurnished,None,7.76,3.38,0.11,2649,2.34,164582,7033444,Low ROI
Nanded,Tier_3,Apartment,3,1074,7,1,10,Unfurnished,Open,1.55,1.9,0.42,2314,3.89,98830,2540626,High ROI
Jalandhar,Tier_3,Independent House,2,967,6,0,2,Fully-Furnished,Open,2.14,2.02,0.83,3994,3.93,146021,3715553,High ROI
Madurai,Tier_3,Independent House,3,1356,6,0,1,Semi-Furnished,Open,5.89,3.2,1.98,3436,2.93,137018,4676415,Medium ROI
Bhubaneswar,Tier_3,Plot,1,985,5,0,1,Fully-Furnished,Open,3.34,3.32,3.81,2045,3.34,67581,2023401,Medium ROI
Raipur,Tier_3,Independent House,3,1082,1,0,1,Unfurnished,Open,1.04,0.05,0.86,2924,4.47,152413,3409701,High ROI
Nanded,Tier_3,Apartment,4,1609,24,5,10,Fully-Furnished,None,7.01,0.95,3.28,2596,3.74,162164,4335948,High ROI
Cuttack,Tier_3,Villa,3,2618,5,0,3,Fully-Furnished,Covered,2.4,1.76,4.09,5033,4.57,596890,13061063,High ROI
Mysore,Tier_3,Apartment,2,1003,0,8,10,Semi-Furnished,Covered,4.39,2.52,0.44,2973,3.63,103411,2848811,High ROI
